Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Steven Adams,C,26,OKC,34,34,28.3,5,8.1,0.61,0,0,0,5,8.1,0.612,0.61,2,3.5,0.558,3.8,6.5,10.3,2.7,0.6,1.2,1.5,1.9,11.9,962,22.2,0.614,0.004,0.433,15,24.7,19.9,15,1.1,3.4,13.4,17.5,2.7,1.4,4.2,0.208,2,3.1,5.1,1.7
2,Bam Adebayo,C,22,MIA,36,36,34.4,5.9,10.2,0.58,0,0.3,0.111,5.9,9.9,0.592,0.582,3.8,5.6,0.677,2.7,8,10.6,4.5,1.3,1.2,2.9,2.7,15.6,1240,20.3,0.618,0.025,0.548,9.1,24.6,17.2,20.5,1.9,3.5,18.6,19.7,2.6,2.2,4.8,0.184,0.8,4.2,5,2.2
3,LaMarcus Aldridge,C,34,SAS,33,33,33,7.7,15.1,0.509,1,2.2,0.459,6.6,12.8,0.518,0.543,2.9,3.5,0.851,2.2,5.6,7.8,2.4,0.6,1.9,1.3,2.4,19.3,1089,21.5,0.582,0.149,0.229,6.9,17.8,12.4,11.2,0.8,4.8,7.4,23.3,2.5,0.9,3.5,0.154,1.6,0.8,2.4,1.2
4,Nickeil Alexander-Walker,SG,21,NOP,28,0,12.7,2,6,0.341,1.1,3.1,0.345,1,2.9,0.338,0.431,0.4,0.6,0.611,0.1,2,2.1,1.7,0.3,0.1,1,1.2,5.5,356,8.1,0.443,0.521,0.108,1.1,17.1,8.9,19.4,1.2,1,13.4,23.5,-0.5,0.2,-0.3,-0.045,-4,-2.2,-6.2,-0.4
5,Grayson Allen,SG,24,MEM,23,0,16.9,2.7,6.2,0.441,1.3,3.3,0.387,1.5,3,0.5,0.542,1,1.2,0.889,0.1,2.1,2.2,1.3,0.2,0,0.9,1.4,7.8,388,11.3,0.578,0.524,0.189,0.8,13.2,7,11.1,0.6,0.2,11.4,18.8,0.3,0.1,0.4,0.049,-0.8,-3.2,-4,-0.2
6,Jarrett Allen,C,21,BRK,36,32,26.6,4.4,6.9,0.648,0,0.1,0,4.4,6.8,0.656,0.648,2.7,4.1,0.649,3.3,6.5,9.8,1.3,0.7,1.3,1.2,2.5,11.6,957,21.4,0.666,0.012,0.599,13,24.1,18.7,7.3,1.3,4.1,11.9,15.4,2.8,1.6,4.4,0.222,0.5,2.9,3.4,1.3
7,Kadeem Allen,SG,27,NYK,4,0,10.5,1.8,4.5,0.389,0.8,1.5,0.5,1,3,0.333,0.472,0.3,0.8,0.333,0.3,0.5,0.8,2,0.5,0,1.3,0.8,4.5,42,9.5,0.466,0.333,0.167,2.4,5.1,3.7,30,2.3,0,20.6,24.5,-0.1,0,-0.1,-0.059,-3.8,-4.1,-7.9,-0.1
8,Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,0.291,0.5,2,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3,380,7.8,0.395,0.419,0.337,6.5,17.9,12,7.6,2.3,1.9,14.7,13.2,-0.4,0.6,0.2,0.025,-4.8,2.4,-2.4,0
9,Justin Anderson,G,26,BRK,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,0,0,2,2,38.7,1,0,0,0,0,0,0,0,0,0,20.8,0,0,0,0.316,8.6,-6.4,2.2,0
10,Kyle Anderson,PF,26,MEM,32,2,17.3,2,4.4,0.457,0.2,0.8,0.231,1.8,3.6,0.509,0.479,0.8,1.3,0.634,1,3,4,2.3,0.7,0.4,0.8,1.4,5,555,12.9,0.506,0.186,0.293,6.4,18.4,12.4,17.1,1.8,2.2,14.6,13.9,0.4,0.5,0.9,0.076,-1.8,1.4,-0.4,0.2
11,Ryan Anderson,PF,31,HOU,2,0,7,1,3.5,0.286,0.5,2.5,0.2,0.5,1,0.5,0.357,0,0,,0,3.5,3.5,1,0.5,0,0.5,0.5,2.5,14,9.8,0.357,0.714,0,0,51.6,26,19.9,3.3,0,12.5,23.4,0,0,0,-0.021,-6.9,1.8,-5.1,0
12,Giannis Antetokounmpo,PF,25,MIL,35,35,31,11.1,20.1,0.553,1.7,5.2,0.326,9.5,15,0.632,0.595,6.3,10.2,0.615,2.5,10.3,12.8,5.6,1.3,1.1,3.5,3.1,30.2,1084,33.6,0.614,0.257,0.505,8.4,31.2,20.4,32.7,1.9,3.2,12.3,37.5,4.2,2.7,7,0.308,7.9,4.7,12.6,4
13,Kostas Antetokounmpo,PF,22,LAL,2,0,1.5,0,0,,0,0,,0,0,,,0,0,,0,0.5,0.5,0,0,0,0,0,0,3,3.9,,,,0,35.7,18.4,0,0,0,,0,0,0,0,0.073,-9.5,-1.1,-10.5,0
14,Thanasis Antetokounmpo,SF,27,MIL,11,0,4.3,0.8,1.5,0.563,0,0.2,0,0.8,1.3,0.643,0.563,0.4,0.7,0.5,0.5,0.1,0.5,0.5,0.1,0.1,0.4,0.5,2,47,14.8,0.564,0.125,0.5,11.1,2,6.3,17.8,1,1.9,17,20.7,0.1,0.1,0.1,0.126,-0.9,-1.4,-2.3,0
