Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
Natalie Achonwa,IND,30,18,21.2,3.3,6.8,0.488,0.1,0.4,0.25,3.2,6.4,0.503,0.495,2,2.2,0.909,1.6,5.2,1.6,0.6,0.7,1,2.6,8.7,19.3,0.562,0.059,0.325,9,14.2,13.4,1.5,2.6,11.1,18.5,2.1,0.6,2.7,0.173
Kayla Alexander,CHI,3,0,6.7,1,1.3,0.75,0,0,,1,1.3,0.75,0.75,1,1.3,0.75,0.7,2.3,0.3,0,0,0.3,1,3,20.9,0.781,0,1,11.9,19.6,7.9,0,0,14.8,14.7,0.1,0,0.1,0.264
Rebecca Allen,NYL,24,2,17.2,2.7,6.5,0.417,1.2,2.8,0.426,1.5,3.7,0.409,0.51,0.5,0.7,0.813,0.5,2.5,0.7,0.5,0.8,0.7,2.1,7.2,13.5,0.527,0.436,0.103,3.3,8.4,7.4,1.5,3.6,9.4,19.1,0.5,0.2,0.6,0.059
Jillian Alleyne,MIN,5,0,2.8,0.4,1.2,0.333,0,0,,0.4,1.2,0.333,0.333,0,0,,0.4,1,0.2,0,0.2,0,0,0.8,16,0.333,0,0,17.7,21.9,11.6,0,6.2,0,19.2,0,0,0,0.087
Kristine Anigwe,CON,17,0,7.1,0.6,2.1,0.314,0,0,,0.6,2.1,0.314,0.314,0.7,1,0.706,0.8,1.8,0.2,0.4,0.2,0.6,1,2,17,0.532,0.483,0.179,3.7,7,12.2,3.1,1.8,9.6,20,1.9,1.1,3,0.15
Kristine Anigwe,DAL,10,0,12.9,1.1,3.3,0.333,0,0,,1.1,3.3,0.333,0.333,1,1.5,0.667,1.4,3.6,0.3,0.3,0.4,0.7,2.2,3.2,3.4,0.342,0.188,0.063,1.6,2.8,15.3,1.6,0.6,15.4,22.4,-0.5,0.1,-0.4,-0.104
Kristine Anigwe,TOT,27,0,9.3,0.8,2.5,0.324,0,0,,0.8,2.5,0.324,0.324,0.8,1.2,0.688,1,2.4,0.2,0.3,0.3,0.6,1.4,2.4,4.7,0.435,0.626,0.113,0.3,4.9,11.4,1.2,0.5,17.7,18,-0.5,0.3,-0.2,-0.024
Ariel Atkins,WAS,33,33,24.4,3.7,9,0.416,1.5,4.3,0.357,2.2,4.6,0.471,0.502,1.3,1.6,0.811,0.7,2.8,2,1.5,0.5,1,2.2,10.3,10.3,0.491,0.102,0.184,1,5.8,14.8,2.6,1.1,14.5,11.7,0.2,0.4,0.5,0.087
Seimone Augustus,MIN,12,7,13,1.7,5.3,0.313,0.2,1,0.167,1.5,4.3,0.346,0.328,0.3,0.3,0.75,0.2,0.6,1.3,0.4,0.1,1,0.4,3.8,-5.9,0,1,0,0,5.6,12,0,0,50,8.2,-0.1,0,0,-0.162
Rachel Banham,CON,29,0,12.2,1.3,4,0.322,0.8,2.5,0.306,0.5,1.5,0.349,0.417,0.3,0.4,0.692,0,1,0.9,0.3,0.1,0.9,1.2,3.6,8.8,0.384,0.421,0.108,1.6,4.5,28.1,1.7,1.1,11.5,26.7,-1.4,0.4,-1,-0.063
